party,year,total_votes,no_of_seats
A S P,2014,557,1
AAAP,2014,11036817,404
AAAP,2019,2716629,35
AABHAP,2019,16481,4
AACP,2019,838,1
AAHPty,2019,3434,1
AAM,2019,34845,5
AAMJP,2014,9371,1
AAP,2014,4380,2
AAPP,2019,18866,22
ABAS,2014,296,1
ABCD(A),2014,1461,2
ABD,2019,716,1
ABEP,2019,1006,1
ABGP,2019,48426,5
ABHKP,2014,685,1
ABHM,2014,29483,8
ABHM,2019,23475,5
ABHP,2019,1976,1
ABHS,2019,1567,1
ABJS,2014,20902,4
ABJS,2019,9015,6
ABLP,2019,503,1
ABML(S),2014,59735,5
ABML(S),2019,5179,2
ABMP,2014,1077,1
ABMP,2019,885,2
ABNNP,2019,2759,1
ABRS,2014,683,1
ABSC,2014,2530,1
ABSKP,2019,9912,1
ABSP,2014,651,1
ABSR,2014,4380,1
ABSSP,2019,735,1
ABVCP,2014,2255,1
ACDP,2019,40214,11
ACP,2019,1263,1
AD,2014,820155,6
ADAL,2019,1039478,2
ADMK,2014,18111579,40
ADMK,2019,8307345,22
ADPT,2014,5579,4
ADPT,2019,5682,2
ADRP,2019,8285,1
ADRSP,2019,3423,2
ADSMK,2014,2372,1
ADSP,2014,11362,2
ADUP,2014,9265,2
ADUP,2019,8541,1
AGP,2014,577730,12
AGP,2019,1480697,3
AGRJP,2014,5228,2
AHFBK,2019,23252,2
AHIMSASP,2019,972,1
AHNP,2019,50071,8
AIACP,2014,1593,1
AIDMMK,2019,1765,1
AIFB,2014,1211418,39
AIFB,2019,322507,35
AIJAP,2019,6495,1
AIMAK,2019,645,1
AIMF,2014,9938,5
AIMF,2019,1850,3
AIMIM,2014,685730,5
AIMIM,2019,1201542,3
AINHCP,2019,8082,4
AINPP,2019,2023,3
AINRC,2014,255826,1
AINRC,2019,247956,1
AIP,2019,396,1
AIPF,2014,7630,3
AIPF,2019,11032,1
AIPTMMK,2019,2764,1
AIRCP,2019,1282,1
AIRSP,2014,543,1
AITC,2014,21215661,123
AITC,2019,24929330,62
AIUC,2019,4024,1
AIUDF,2014,2333040,18
AIUDF,2019,1402088,3
AIUUK,2019,1999,1
AIVP,2019,643,1
AJKMP,2014,4392,2
AJM,2019,21678,4
AJNSP,2019,551,1
AJPI,2019,16749,7
AJPR,2019,31017,3
AJSUP,2014,481667,9
AJSUP,2019,648277,1
AKAKRP,2014,1568,1
AKBAP,2014,1040,1
AKBHAD,2019,12538,5
AKBJHP,2014,16616,3
AKBJHP,2019,8484,1
AKBMP,2014,11221,2
AKBMP,2019,10127,1
AKHP,2019,3907,1
AKSP,2019,7569,2
ALHP,2014,5977,4
ALHP,2019,1764,2
ALINLBP,2019,2707,1
ALoP,2019,4856,2
AMB,2014,74626,16
AMB,2019,36570,9
AMKP,2019,829,1
AMP,2014,1920,1
AMPK,2019,5089,2
AMS,2014,8544,1
AMiP,2019,11311,2
ANC,2014,19863,10
ANC,2019,49149,21
ANIJP,2019,2017,1
ANNADATA,2019,5147,1
ANRP,2019,2360,1
ANSP,2019,1424,1
APCP,2014,15370,1
APEP,2019,1368,2
APKSP,2019,8354,1
APM,2014,372,1
APRSSP,2014,2743,2
APoI,2014,64922,20
APoI,2019,381070,77
ARK,2019,2626,4
ARP,2014,16461,4
ARP,2019,4399,2
ARPS,2014,12042,3
ARPS,2019,1563,1
ARVP,2014,12037,7
ARWP,2014,2029,1
ASDC,2019,36915,1
ASDHP,2019,11598,4
ASGP,2019,4283,1
ASJP,2019,3678,1
ASP,2014,27589,7
ASP,2019,35076,8
ASaP,2014,1617,1
ASaP,2019,5504,3
ATBP,2014,2135,2
ATBP,2019,4737,2
AVIRP,2014,5861,3
AVIRP,2019,7697,4
AVVP,2019,3526,2
AYP,2019,921,1
AYSRCP,2019,5511,2
Aa S P,2014,3482,2
AgIMK,2019,7320,5
AlPP,2019,370,1
AnAP,2019,1281,1
AwVP,2014,3747,4
BA S D,2014,59815,9
BAAP,2019,3919,4
BAEP,2019,8164,1
BAHUMP,2019,46185,20
BALP,2019,24915,7
BARESP,2019,54266,27
BARP,2019,15907,4
BAWPA,2019,14060,4
BBC,2014,7197,2
BBC,2019,19500,6
BBKD,2019,6684,5
BBM,2014,360854,23
BBM,2019,5971,2
BBMP,2014,10160,2
BBMP,2019,9894,1
BBPP,2019,1268,1
BBPSP,2014,1679,1
BC,2014,5371,2
BCBDP,2014,596,1
BCP,2014,802,1
BCUF,2014,7036,2
BCUF,2019,649,1
BDBRAJP,2014,9481,6
BDJS,2019,380847,4
BDPty,2019,472,1
BDlP,2019,15376,3
BED,2014,90314,7
BEMP,2014,8729,2
BEPP,2019,1434,1
BGTD,2014,5761,5
BGanP,2019,13039,4
BHABHAPA,2019,1995,2
BHAIP,2019,3264,3
BHAPRAP,2019,92100,52
BHAZS,2019,1527,1
BHBHP,2019,6730,3
BHBP,2014,4653,4
BHBP,2019,1069,1
BHHF,2019,6508,2
BHJMP,2019,1055,1
BHMP,2019,6511,2
BHNKP,2014,502,1
BHPP,2014,4291,2
BHPP,2019,1649,1
BHSSP,2014,4956,1
BHTJP,2019,7210,4
BIP,2014,5362,2
BIP,2019,2231,1
BJAZP,2019,8421,2
BJD,2019,10174021,21
BJJD,2014,4664,1
BJKD,2014,14685,3
BJKD,2019,29507,7
BJKVP,2014,21524,6
BJKVP,2019,40906,7
BJM,2014,325,1
BJNP,2019,6735,4
BJP,2014,161047761,396
BJP,2019,229076879,436
BJPARTY,2014,6765,1
BJSAP,2019,1218,2
BJSP,2014,1337,1
BJSPP,2019,1392,1
BJSTP,2019,12416,1
BKLJP,2014,3392,1
BKNP,2019,20995,14
BKP,2014,1174,1
BKPP,2014,7342,2
BKPP,2019,9503,1
BKSL,2014,3826,2
BKVP,2019,3778,1
BKrD,2014,4250,4
BKrD,2019,4696,4
BLND,2019,32445,8
BLRP,2019,29129,7
BLSD,2019,34643,9
BLSP,2014,1078473,4
BLSP,2019,1462518,5
BLokSP,2019,3271,4
BMF,2014,16182,4
BMF,2019,23765,7
BMFP,2019,11132,10
BMJP,2019,822,1
BMNSP,2014,877,1
BMSM,2014,3441,1
BMSM,2019,2484,2
BMUP,2014,763532,226
BMUP,2019,405949,119
BMVSP,2019,3908,3
BMtrP,2019,12737,3
BNARP,2019,31308,7
BND,2019,1047,1
BNDl,2019,26746,4
BNIP,2014,1440,1
BNIP,2019,932,1
BNJD,2014,20209,4
BNJD,2019,16743,4
BNNP,2014,2533,2
BNSKP,2019,2640,1
BNavP,2019,619,1
BOPF,2014,330106,2
BOPF,2019,446774,1
BPC,2014,2571,3
BPC,2019,724,1
BPKP,2019,3385,3
BPSJP,2019,14757,8
BRABSVP,2014,3238,1
BRAVP,2014,4411,2
BRKP(D),2019,2880,2
BRM,2019,8260,2
BRMD,2014,1607,1
BRP,2019,992,1
BRPI,2014,2138,1
BRPI,2019,14142,1
BRPP,2014,8226,4
BRPPA,2019,1008,1
BRSP,2019,1695,1
BRVP,2014,1152,1
BSCP,2014,75966,28
BSCP,2019,105997,35
BSD,2014,1096,1
BSDL,2014,1723,2
BSDL,2019,743,1
BSDS,2014,924,1
BSHSP,2019,1852,1
BSKD,2014,1423,1
BSKP,2014,2409,2
BSKP,2019,829,1
BSKRP,2019,1948,1
BSP,2014,22434033,471
BSP,2019,22246501,383
BSP(A),2014,11104,5
BSP(A),2019,6802,5
BSP(K),2014,5416,2
BSPM,2019,501,1
BSSPA,2019,7370,3
BSUSP,2019,1786,1
BTARP,2019,4632,2
BTP,2019,539319,19
BUNKD,2019,1849,1
BVA,2014,293681,1
BVA,2019,491596,1
BVLP,2014,161,1
BVM,2014,45667,8
BYPP,2019,3449,2
BYS,2014,38633,6
BaHaP,2019,1886,1
BaJD,2019,489,1
BaSaP,2014,5845,2
BaSaPa,2019,3638,2
BaVaP,2014,4142,2
BaVaP,2019,984,1
BhAmAP,2019,9628,1
BhBSP,2019,2210,2
BhJaSP,2014,3336,2
BhNP,2014,2000,1
BhNP,2019,5674,1
BhNaP,2014,1408,1
BhSMP,2014,15940,7
BhaRP,2019,461,1
CDF,2019,494,1
CHALP,2019,958,2
CHKAP,2019,3186,1
CPI,2014,4204428,61
CPI,2019,3576184,49
CPI(ML)(L),2014,978153,77
CPI(ML)(L),2019,711715,22
CPIM,2014,88843,40
CPIM,2019,10835553,98
CPM,2014,17938138,91
CSM,2014,11837,3
CSM,2019,2691,2
CoAP,2019,275,1
DABAP,2014,7746,2
DABAP,2019,6133,3
DAMK,2019,719,1
DBSP,2014,5240,5
DCLF,2019,596,1
DCP,2014,833,1
DESEP,2014,1262,1
DFBL,2014,17465,4
DJHP,2019,273,1
DKSP,2019,346,1
DMDK,2014,2078843,14
DMDK,2019,929590,4
DMK,2014,9631246,35
DMK,2019,14363332,24
DMSK,2019,15008,10
DND,2014,4130,1
DNP,2014,5485,1
DPI,2019,499,1
DPIN,2019,4913,3
DPPS,2014,1342,1
DPPS,2019,429,1
DSPVAD,2019,3522,3
DSSP,2019,26588,2
DUUK,2019,3337,2
DaP,2014,2175,1
DaVP,2014,950,1
EKSP,2014,5341,2
EP,2019,1442,1
ESKP,2014,2988,1
ESP,2019,1270,1
ETMK,2014,3023,1
ETMK,2019,5482,3
FDLP,2019,1519,1
FIP,2019,820,1
FJP,2019,564,1
FPI,2019,6884,3
GAGUP,2019,10469,3
GGP,2014,201722,20
GGP,2019,210088,22
GJNP,2019,11678,2
GJPP,2019,1524,1
GOA,2014,530,1
GPI,2019,11631,3
GRIP,2014,2594,1
GSRP,2014,783,1
GaAP,2014,23505,9
GaAP,2019,385,1
HAMS,2019,956501,3
HAPa,2019,2728,2
HBP,2019,16672,9
HCP,2019,2094,2
HEP,2014,566,1
HIMJKP,2019,970,1
HJCBL,2014,703698,2
HJP,2014,46761,15
HJP,2019,9997,7
HKRD,2014,6703,3
HMRD,2019,447,1
HMSKP,2019,1998,1
HND,2014,8889,6
HND,2019,122972,47
HSCP,2014,888,1
HSP,2019,1014,1
HSS,2019,21771,9
HVD,2014,7921,2
HiPPa,2014,8853,1
HiPPa,2019,3750,1
HiSP,2014,997,1
HuSP,2019,1432,1
IBSP,2014,1059,1
IBSPK,2014,1952,2
ICF,2019,4832,4
ICSP,2014,14360,6
IDRP,2019,7784,2
IICR,2019,2569,1
IJP,2014,1103,1
IKL,2014,5084,2
ILP(AP),2014,6390,2
ILP(AP),2019,4923,4
IMK,2019,748,1
INC,2014,96641749,432
INC,2019,119495214,421
INCP,2019,20235,3
IND,2014,15888094,3096
IND,2019,16583326,3461
INDPP,2019,1723,1
INL,2014,11924,4
INL,2019,3644,2
INLD,2014,2799899,10
INLD,2019,240258,10
IOP,2014,649,1
IPBP,2019,20682,12
IPFT,2014,21326,2
IPFT,2019,89529,2
IPGP,2014,3488,3
IPGP,2019,9538,2
IPP,2014,2155,1
IRNP,2019,2012,1
ISSP,2014,16903,4
IUC,2014,13527,3
IUC,2019,4003,2
IUML,2014,1100096,25
IUML,2019,1592467,9
IVD,2014,2570,2
IVD,2019,718,1
IVP,2014,398,1
JAAP,2019,1812,1
JAC,2019,14595,7
JAJGP,2019,11464,7
JANADIP,2019,79975,19
JANKRPR,2019,4873,2
JANSAPP,2019,3646,4
JAP,2014,2249,2
JAPL,2019,97631,1
JASP,2019,712,1
JASWP,2019,1056,1
JBSP,2014,215607,1
JD,2019,1572,1
JD(S),2014,3731481,34
JD(S),2019,3457107,9
JD(U),2014,5984608,91
JD(U),2019,8926679,25
JDL,2019,203369,2
JDP,2014,105435,18
JDR,2014,53864,9
JDR,2019,27584,3
JGHTP,2019,6171,2
JGP,2014,27624,7
JHAP,2014,12240,3
JHAP,2019,4164,1
JHBHP,2019,7192,2
JHP,2014,14754,1
JHP,2019,13693,1
JJ,2014,1517,1
JJJKP,2019,4809,4
JKM,2014,2711,1
JKN,2014,396713,3
JKN,2019,280356,3
JKNPP,2014,57103,13
JKNPP,2019,39760,8
JKP,2014,203869,4
JKP,2019,35060,4
JKP(N),2014,16670,3
JKP(N),2019,18869,2
JKPDP,2014,732644,5
JKPDP,2019,84054,2
JKPP,2019,16195,4
JKPPAP,2019,1612,1
JKPS,2019,1244,1
JKiP,2019,33902,8
JLokP,2019,473,1
JM,2014,2901,1
JMBP,2014,57988,27
JMBP,2019,3267,3
JMM,2014,1465010,20
JMM,2019,1901976,13
JMM(U),2014,3512,1
JMM(U),2019,8672,1
JND,2014,4719,1
JNJP,2019,619970,7
JNSMP,2019,3706,3
JP,2019,13467,4
JPC,2014,71154,1
JPC,2019,133612,3
JPD,2019,913,1
JPJD,2014,27619,5
JPJD,2019,27404,11
JPS,2014,47696,12
JPS,2019,2640,2
JRPa,2014,3846,2
JRPa,2019,2308,2
JRVP,2019,2364,1
JSEP,2014,6636,3
JSEP,2019,1557,1
JSK,2014,4489,1
JSMP,2014,357,1
JSP,2019,2484,2
JSVP,2019,10569,5
JTVP,2019,17955,3
JVBP,2014,4270,2
JVBP,2019,696,1
JVD,2014,10870,2
JVM,2014,1579772,16
JVM,2019,750799,2
JaRaP,2014,2543,1
JaRaPa,2014,1318,1
JaSD,2019,5758,2
JaSPa,2014,204260,27
JaSSP,2019,3731,2
JanSP,2014,944,1
JanSP,2019,11324,5
JeSM,2014,10564,3
JeSM,2019,5885,2
JnP,2019,1915127,24
KAP,2014,33172,10
KARASP,2019,512,1
KBD,2019,7255,5
KCVP,2014,707,1
KCVP,2019,2510,1
KDC,2014,1345,1
KEC,2019,155135,1
KEC(M),2014,424194,1
KEC(M),2019,421046,1
KHSNP,2019,687,1
KJP,2019,2013,2
KKJHS,2019,11200,5
KKMP,2019,3084,4
KMBS,2014,7839,2
KMBS,2019,1574,1
KMSP,2019,7974,4
KPJP,2019,1207,1
KPOI,2019,5647,2
KPPR,2019,3697,2
KPPU,2019,12666,6
KRUP,2019,8510,3
KS,2014,2946,1
KS,2019,12432,5
KSRP,2019,2426,1
KSRSP,2019,3303,1
KVD,2014,7541,3
LAJSP,2019,9868,1
LB,2014,13399,8
LCD,2019,2384,1
LD,2014,48202,21
LD,2019,18218,5
LIP,2019,469784,3
LJGP,2019,1135,1
LJP,2014,2295929,7
LJP,2019,3206979,6
LJSPty,2019,968,1
LJVM,2019,9278,2
LKJP,2014,10026,3
LKSGM,2019,8418,1
LOGAP,2019,18684,7
LOKJANP,2019,2725,1
LPI(V),2014,1993,1
